Part No,Lot No,Sample,Panel ID,Criterion internal,Criterion CofC,Position,PTH,Measuring point,Measuring value,LSL,USL,LCL,UCL,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 1,18.03,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 2,18.03,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 3,18.85,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 4,18.03,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 5,18.03,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 6,18.85,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 1,19.67,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 2,18.03,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 3,18.03,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 4,18.03,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 5,18.03,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 6,18.85,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 1,M 1,18.85,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 1,M 2,18.85,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 1,M 3,18.85,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 1,M 4,18.85,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 1,M 5,18.85,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 1,42,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 1,M 6,18.03,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 1,16.80,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 2,15.49,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 3,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 4,16.14,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 5,14.83,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 1,M 6,17.46,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 1,16.47,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 2,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 3,15.49,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 4,15.49,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 5,16.14,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 1,M 6,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 1,M 1,18.45,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 1,M 2,15.16,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 1,M 3,16.47,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 1,M 4,16.14,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 1,M 5,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 1,M 6,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 1,M 1,19.11,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 1,M 2,16.14,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 1,M 3,17.46,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 1,M 4,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 1,M 5,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 1,M 6,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 1,M 1,18.78,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 1,M 2,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 1,M 3,16.80,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 1,M 4,16.47,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 1,M 5,16.47,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 1,M 6,19.11,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 2,M 1,17.13,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 2,M 2,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 2,M 3,15.49,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 2,M 4,17.13,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 2,M 5,14.83,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 2,M 6,17.13,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 2,M 1,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 2,M 2,16.14,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 2,M 3,16.80,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 2,M 4,16.80,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 2,M 5,13.84,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 2,M 6,18.12,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 2,M 1,17.46,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 2,M 2,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 2,M 3,16.14,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 2,M 4,16.14,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 2,M 5,14.83,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 2,M 6,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 2,M 1,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 2,M 2,15.49,12,24,13.8,22.2,,
